"Metric #","Metric ID","Display Name","Tool Surface","Tool Status","Runtime Scope","Unit","Formula / Assumption","Input File / Layer","Local Path","Vercel / Download URL","Data Source / Provenance","Visibility Notes","Caveats / Questions"
"18","priority_area_in_region","Priority Area","Solution Overview / AOI Dashboard","Visible in tool","National and AOI scopes","km2","Total selected priority area within the current scope.","Solution raster and selected AOI boundary","frontend/layer-manifest/latest/manifest.latest.json","https://aagibolq28slyfof.public.blob.vercel-storage.com/manifest/manifest.json","Prioritizr solution raster / AOI boundary lookup","Overview metric card and AOI hero are wired to cached metric.","Internal metric name is Priority Area (Selected); CSV keeps the simpler team-facing name."
"19","priority_area_pct_of_region","Priority Area % of Region","AOI Dashboard","Visible in AOI dashboard","AOI scopes","%","Selected priority area divided by total valid area in the selected AOI.","Solution raster and AOI boundary","frontend/layer-manifest/latest/manifest.latest.json","https://aagibolq28slyfof.public.blob.vercel-storage.com/manifest/manifest.json","Prioritizr solution raster / AOI boundary lookup","AOI hero is wired to cached metric.","This is an AOI-only metric; at national scale it duplicates National Contribution."
"21","species_richness_mammals","Species Richness - Mammals","AOI Dashboard","Visible in tool","AOI scopes","count","Count of Mammalia species whose modelled range overlaps selected priority area in the current scope.","Species range lookup and species rasters","data/biomod_spp_ranges_updatedIUCN.csv","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/metadata/biomod_spp_ranges_updatedIUCN.csv","Biomod species range outputs","AOI biodiversity section is wired to cached metric.","Current pool is 256 mammal species."
"22","species_richness_birds","Species Richness - Birds","AOI Dashboard","Visible in tool","AOI scopes","count","Count of Aves species whose modelled range overlaps selected priority area in the current scope.","Species range lookup and species rasters","data/biomod_spp_ranges_updatedIUCN.csv","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/metadata/biomod_spp_ranges_updatedIUCN.csv","Biomod species range outputs","AOI biodiversity section is wired to cached metric.","Current pool is 1552 bird species."
"23","species_richness_amphibians","Species Richness - Amphibians","AOI Dashboard","Visible in tool","AOI scopes","count","Count of Amphibia species whose modelled range overlaps selected priority area in the current scope.","Species range lookup and species rasters","data/biomod_spp_ranges_updatedIUCN.csv","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/metadata/biomod_spp_ranges_updatedIUCN.csv","Biomod species range outputs","AOI biodiversity section is wired to cached metric.","Current pool is 184 amphibian species."
"24","species_richness_reptiles","Species Richness - Reptiles","AOI Dashboard","Visible in tool","AOI scopes","count","Count of Squamata and Crocodylia species whose modelled range overlaps selected priority area in the current scope.","Species range lookup and species rasters","data/biomod_spp_ranges_updatedIUCN.csv","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/metadata/biomod_spp_ranges_updatedIUCN.csv","Biomod species range outputs","AOI biodiversity section is wired to cached metric.","Current pool is 160 reptile species."
"25","species_richness_plants","Species Richness - Plants","AOI Dashboard","Visible in tool","AOI scopes","count","Count of Magnoliopsida species whose modelled range overlaps selected priority area in the current scope.","Species range lookup and species rasters","data/biomod_spp_ranges_updatedIUCN.csv","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/metadata/biomod_spp_ranges_updatedIUCN.csv","Biomod species range outputs","AOI biodiversity section is wired to cached metric.","Current pool is 6148 plant species."
"26","threatened_species_count","Threatened Species Count","AOI Dashboard","Visible in tool","AOI scopes","count","Count of CR/EN/VU non-fish species whose modelled range overlaps selected priority area in the current scope.","Species range lookup and species rasters","data/biomod_spp_ranges_updatedIUCN.csv","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/metadata/biomod_spp_ranges_updatedIUCN.csv","Biomod species range outputs with IUCN status","AOI biodiversity stats are wired to cached metric.","Current threatened species pool is 213; excludes Actinopteri."
"27","","Endemic Species Count","AOI Dashboard","Needs input data","AOI scopes","count","Would count endemic species whose range overlaps selected priority area if endemism source exists.","Endemism attribute or layer","Not available","Not available","Waiting on possible Elkin source","AOI has dummy-only placeholder value.","Deferred until endemism data is available and approved."
"28","species_pct_of_national","% of National Species Total","AOI Dashboard","Visible in tool","AOI scopes","%","Non-fish species overlapping selected priority area divided by total non-fish species pool, times 100.","Species range lookup and species rasters","data/biomod_spp_ranges_updatedIUCN.csv","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/metadata/biomod_spp_ranges_updatedIUCN.csv","Biomod species range outputs","AOI biodiversity stats are wired to cached metric.","Denominator is the tool's species universe, not an external national biodiversity total."
"29","","Ecosystem Coverage - Cloud Forest","AOI Dashboard","Not included in current tool","AOI scopes","km2 / %","Would calculate selected priority area overlapping cloud forest if a source layer exists.","Cloud forest layer","Not available","Not available","No approved cloud forest source layer found","AOI legend label may exist, but no pipeline metric backs it.","Dropped/deferred unless a separate cloud forest source appears."
"30","ecosystem_coverage_paramo","Ecosystem Coverage - Paramo","Solution Overview / AOI Dashboard","Visible in tool","National and AOI scopes","km2","Selected solution area intersected with paramos.tif.","paramos.tif","data/inputs/features/strategic/paramos.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/strategic/paramos.tif","Strategic ecosystem layer in manifest","Overview and AOI ecosystem sections are wired to cached metric.","Strategic ecosystems are separate binary layers, not classes pulled from ecosistemas.tif."
"31","ecosystem_coverage_dry_forest","Ecosystem Coverage - Dry Forest","Solution Overview / AOI Dashboard","Visible in tool","National and AOI scopes","km2","Selected solution area intersected with bosque_seco.tif.","bosque_seco.tif","data/inputs/features/strategic/bosque_seco.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/strategic/bosque_seco.tif","Strategic ecosystem layer in manifest","Overview and AOI ecosystem sections are wired to cached metric.","Strategic ecosystems are separate binary layers, not classes pulled from ecosistemas.tif."
"32","ecosystem_coverage_wetlands","Ecosystem Coverage - Wetlands","Solution Overview / AOI Dashboard","Visible in tool","National and AOI scopes","km2","Selected solution area intersected with humedales.tif.","humedales.tif","data/inputs/features/strategic/humedales.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/strategic/humedales.tif","Strategic ecosystem layer in manifest","Overview and AOI ecosystem sections are wired to cached metric.","Strategic ecosystems are separate binary layers, not classes pulled from ecosistemas.tif."
"33","","Ecosystem Coverage - Other","AOI Dashboard","Not included in current tool","AOI scopes","km2 / %","Would calculate residual ecosystem area outside named categories, but this was judged confusing for now.","No approved source","Not available","Not available","Internal decision to drop for now","Not shown as a real cached metric.","Current AOI ecosystem 'other' visual segment has a mapping caveat and should not be treated as a production metric."
"34","","Marine Protected Area (MPA) Overlap","AOI Dashboard","Future / not in current tool","Marine AOI scopes","km2 / %","Would calculate selected marine area overlapping MPAs if marine solutions and source layers are added.","Marine Protected Areas layer","Not available","Not available","Marine input package not available","Placeholder only.","Deferred because current work is not running marine protected solutions."
"35","","Coral Reef Coverage","AOI Dashboard","Future / not in current tool","Marine AOI scopes","km2 / %","Would calculate selected marine area overlapping coral reef ecosystems if source layer exists.","Coral reef layer","Not available","Not available","Marine input package not available","Placeholder only.","Deferred until marine ecosystem inputs are available."
"36","mangrove_coverage","Mangrove Coverage","Solution Overview / AOI Dashboard","Visible in tool","National and AOI scopes","km2","Selected solution area intersected with mangroves.tif.","mangroves.tif","data/inputs/features/strategic/mangroves.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/strategic/mangroves.tif","Strategic ecosystem layer in manifest","Overview and AOI ecosystem sections are wired to cached metric.","Current pipeline treats mangroves as a strategic ecosystem layer even though the original finalized sheet grouped it with marine metrics."
"37","","Seagrass Bed Coverage","AOI Dashboard","Future / not in current tool","Marine AOI scopes","km2 / %","Would calculate selected marine area overlapping seagrass beds if source layer exists.","Seagrass layer","Not available","Not available","Marine input package not available","Placeholder only.","Deferred until marine ecosystem inputs are available."
"38","","% of Solution in EEZ","AOI Dashboard","Future / not in current tool","Marine AOI scopes","%","Would calculate selected solution area inside Colombia EEZ divided by total selected solution area.","EEZ boundary layer","Not available","Not available","Marine input package not available","Placeholder only.","Deferred until marine solution scope and EEZ source are available."
"39","carbon_biomass_total","Total Carbon Biomass","AOI Dashboard","Visible in tool","AOI scopes","Mg-km2","Weighted sum of above + below-ground biomass layer times pixel area for selected cells.","biomasa_areara+subterranea_1km.tif","data/inputs/features/biomass/biomasa_areara+subterranea_1km.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/biomass/biomasa_areara+subterranea_1km.tif","SPAWN / biomass source as tracked in input layers","AOI carbon section is wired to cached metric.","Overlaps semantically with #5; decide whether team sheet should show both or treat #39 as AOI-specific view of biomass."
"40","","Above-ground Carbon","AOI Dashboard","Replaced by another metric","AOI scopes","tCO2e / Mg-km2","Original metric expected above-ground-only biomass, but current available source is combined above + below-ground biomass.","No above-ground-only raster","Not available","Not available","No approved separate above-ground carbon source","Not implemented as a separate pipeline metric.","Use combined biomass (#5 / #39) unless an above-ground-only source appears."
"41","soil_organic_carbon","Soil Organic Carbon","AOI Dashboard","Visible in tool","AOI scopes","Mg-km2","Weighted sum of soil carbon raster value times pixel area for selected cells.","carbono_organico.tif","data/inputs/features/carbon/carbono_organico.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/carbon/carbono_organico.tif","Soil organic carbon raster tracked in metric catalog","AOI carbon section is wired to cached metric.","Source units and conversion to tCO2e need final provenance confirmation."
"43","carbon_pct_of_national","% of National Carbon","AOI Dashboard","Visible in tool","AOI scopes","%","Selected biomass weighted sum divided by national valid biomass weighted sum, times 100.","biomasa_areara+subterranea_1km.tif","data/inputs/features/biomass/biomasa_areara+subterranea_1km.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/biomass/biomasa_areara+subterranea_1km.tif","SPAWN / biomass source as tracked in input layers","AOI carbon section is wired to cached metric.","Currently uses biomass denominator; confirm if team expects soil carbon, biomass, or combined ecosystem carbon denominator."
"44","water_regulation_pct","Water Regulation Capacity","AOI Dashboard","Calculated; not clearly shown","AOI scopes","%","Percent of selected priority area overlapping moderate-to-high groundwater recharge zone.","recarga_agua_subterranea_moderado_alto.tif","data/inputs/features/ground_water_recharge/recarga_agua_subterranea_moderado_alto.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/features/ground_water_recharge/recarga_agua_subterranea_moderado_alto.tif","IDEAM groundwater recharge layer","The value can be calculated, but the AOI dashboard does not currently show it as a prominent stat card.","This is spatial overlap / coverage, not m3 or continuous capacity."
"51","land_use_forest_pct","Land Use - Natural Forest","AOI Dashboard","Visible in tool","AOI scopes","%","Percent of selected priority area classified as forest / seminatural in coberturas.tif class 1.","coberturas.tif class 1","data/boundaries/coberturas.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/boundaries/coberturas.tif","IDEAM CORINE land-cover layer adapted for Colombia","AOI land-use section is wired to cached metric.","Team may want label to say Natural Forest and Seminatural Areas for technical accuracy."
"52","land_use_agriculture_pct","Land Use - Agriculture (combined pasture + crops)","AOI Dashboard","Visible in tool; merged category","AOI scopes","%","Percent of selected priority area classified as agricultural territory in coberturas.tif class 2.","coberturas.tif class 2","data/boundaries/coberturas.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/boundaries/coberturas.tif","IDEAM CORINE land-cover layer adapted for Colombia","AOI land-use section is wired to cached metric.","Original #52 Pasture and #53 Crop Agriculture are merged because Level 1 data does not reliably separate them."
"53","land_use_agriculture_pct","Land Use - Crop Agriculture (merged into agriculture)","AOI Dashboard","Merged into another metric","AOI scopes","%","No separate crop calculation; grouped into the combined agriculture metric.","coberturas.tif class 2","data/boundaries/coberturas.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/boundaries/coberturas.tif","IDEAM CORINE land-cover layer adapted for Colombia","Shown through combined agriculture metric only.","Separate crop vs pasture reporting requires a finer land-cover source."
"54","land_use_other_pct","Land Use - Other","AOI Dashboard","Visible in tool","AOI scopes","%","Percent of selected priority area classified as artificialized, wetland, or water classes 3, 4, and 5 in coberturas.tif.","coberturas.tif classes 3, 4, and 5","data/boundaries/coberturas.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/boundaries/coberturas.tif","IDEAM CORINE land-cover layer adapted for Colombia","AOI land-use section is wired to cached metric.","Represents the remainder after forest and agriculture at this aggregation level."
"55","","Agricultural Opportunity Cost (AOI)","AOI Dashboard","Placeholder only","AOI scopes","COP / USD","Would sum agricultural opportunity cost values within selected priority area if approved source is available.","Agricultural opportunity cost layer","Not available","Not available","Potentially related to net_benefit.tif / cost layer","AOI has placeholder / dummy-style treatment only.","Needs Mesa / team decision and source confirmation."
"57","","Historical Conflict Zone Overlap","AOI Dashboard","Placeholder only","AOI scopes","km2","Would calculate selected priority area overlapping historical or current conflict zones if source is approved.","Conflict zone layer","Not available","Not available","Potential candidate mentioned: coco-muertes raster","AOI has placeholder / dummy-style treatment only.","Needs decision on historical vs current conflict framing and whether this belongs in team-facing reporting."
"59","indigenous_reservations_area","Indigenous Reservations Area","Solution Overview / AOI Dashboard","Visible in tool","National and AOI scopes","km2","Selected solution area intersected with resguardos.tif.","resguardos.tif","data/inputs/includes/resguardos.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/includes/resguardos.tif","Indigenous reserves include layer in manifest","Overview and AOI cultural sections are wired to cached metric.","Terminology may need team review: reservations / reserves / territories."
"60","community_councils_area","Community Councils Area","Solution Overview / AOI Dashboard","Visible in tool","National and AOI scopes","km2","Selected solution area intersected with comunidades.tif.","comunidades.tif","data/inputs/includes/comunidades.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/includes/comunidades.tif","Afro-Colombian community councils include layer in manifest","Overview and AOI cultural sections are wired to cached metric.","Confirm public-facing label with the team if needed."
"63","protected_area_runap_km2","Total Protected Area in AOI (RUNAP)","AOI Dashboard","Visible in tool","AOI scopes","km2","Selected solution area overlapping any RUNAP protected-area category.","runap_protected_areas.tif","data/inputs/includes/runap_protected_areas.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/includes/runap_protected_areas.tif","RUNAP 2023 protected areas","AOI protection hero is wired to cached metric.","Clarify whether reporting should emphasize total overlap, new/additional area, or both."
"64","national_parks_pct","% Overlap with National Parks","AOI Dashboard","Visible in tool; label under review","AOI scopes","%","Percent of selected priority area overlapping RUNAP category id 3, Parque Nacional Natural.","runap_protected_areas.tif category 3","data/inputs/includes/runap_protected_areas.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/includes/runap_protected_areas.tif","RUNAP 2023 protected areas","AOI protection hero is wired to cached metric.","Nick cautioned that National Parks are only a subset of RUNAP; consider broader RUNAP overlap language if that is the team preference."
"66","indigenous_territory_pct","% Overlap with Indigenous Territories","AOI Dashboard","Visible in tool","AOI scopes","%","Percent of selected priority area overlapping indigenous reserves / resguardos.","resguardos.tif","data/inputs/includes/resguardos.tif","https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/includes/resguardos.tif","Indigenous reserves include layer in manifest","AOI cultural section is wired to cached metric.","Coordinate naming with #59."
"70","agreement_area","Agreement Area","Scenario Comparison","Planned; not shown yet","Pairwise comparison","km2","Area selected in both Scenario A and Scenario B.","Two solution rasters","frontend/layer-manifest/latest/manifest.latest.json","https://aagibolq28slyfof.public.blob.vercel-storage.com/manifest/manifest.json","Prioritizr solution rasters","Comparison catalog entry exists, but current UI is mostly mock / fallback.","Needs comparison-flow wiring; not cached per solution because it requires two scenarios."
"71","unique_to_scenario_a","Unique to Scenario A","Scenario Comparison","Planned; not shown yet","Pairwise comparison","km2","Area selected only in Scenario A: A minus B.","Two solution rasters","frontend/layer-manifest/latest/manifest.latest.json","https://aagibolq28slyfof.public.blob.vercel-storage.com/manifest/manifest.json","Prioritizr solution rasters","Comparison catalog entry exists, but current UI is mostly mock / fallback.","Needs comparison-flow wiring; not cached per solution because it requires two scenarios."
"72","unique_to_scenario_b","Unique to Scenario B","Scenario Comparison","Planned; not shown yet","Pairwise comparison","km2","Area selected only in Scenario B: B minus A.","Two solution rasters","frontend/layer-manifest/latest/manifest.latest.json","https://aagibolq28slyfof.public.blob.vercel-storage.com/manifest/manifest.json","Prioritizr solution rasters","Comparison catalog entry exists, but current UI is mostly mock / fallback.","Needs comparison-flow wiring; not cached per solution because it requires two scenarios."
