layer_id,layer_name,layer_description,layer_group,visibility,source_org,scope,source_dataset_name,source_url,source_created_at,source_updated_at,source_license,source_contact,metadata_verified_at,metadata_verified_by,storage_type,canonical_storage_uri,app_fetch_uri,data_format,region_key,required_for_solution,in_use_now,selectable_in_finder,visible_in_map_layers,current_status,release_priority,target_app_surface,notes,scope_tags,metadata_status,validated_at,validated_by,selected_for_release
DISP_WATER,Water Regulation,Shows areas important for water regulation and related ecosystem services.,features,all,IDEAM,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,unknown,unknown,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,missing,medium,left-sidebar-map-layers,Needed for environmental services visualization,nacional,missing,2026-04-03T00:27:53Z,App Team,FALSE
SPECIES_ALL,Individual Species Distributions (~8751),Species distribution raster collection for potential species explorer,features,all,Humboldt (BioModelos),nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/features/species/,unknown,GeoTIFF Folder,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,low,left-sidebar-map-layers,Available dataset not currently rendered in map,nacional,partial,2026-04-03T00:27:53Z,App Team + Mesa Nacional,FALSE
COST_HF_2030,Human Footprint 2030,Shows projected human pressure on landscapes in 2030; higher values indicate higher pressure.,cost,all,Humboldt (IAvH),nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/costs/human_footprint_2030.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Required baseline cost layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
COST_NET_BENEFIT,Net Benefit (Renta Agropecuaria),Shows potential agricultural net benefit; higher values indicate higher opportunity cost for conservation.,cost,all,Humboldt (IAvH),nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/costs/net_benefit.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Required baseline cost layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
COST_CONFLICT,Conflict (Coca + Deaths),Shows conflict intensity based on coca and violence indicators to represent social risk and implementation difficulty.,cost,all,UNODC / Government,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/costs/conflict.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Required baseline cost layer,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
INCL_RUNAP,Protected Areas (RUNAP 2023),Protected areas from RUNAP (2023) that are treated as already conserved in planning outputs.,includes,all,PNNC / RUNAP,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/includes_excludes/runap_protected_areas.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,high,solution-finder,Always-on include for current scenarios,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
INCL_COMUNIDADES,Afro-Colombian Communities,Afro-Colombian community territories that can be included in planning and visualization.,includes,all,ANT,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/includes_excludes/comunidades.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,medium,solution-finder,Optional include currently exposed in UI,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
INCL_OMECS,OMECs (raster),Other Effective Conservation Measures (OMECs) recognized for conservation outcomes outside formal protected areas.,includes,all,WDPA / Protected Planet,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team + Mesa Nacional,repo_file,data/inputs/includes_excludes/omecs.tif,unknown,GeoTIFF,all,TRUE,TRUE,TRUE,TRUE,available,medium,solution-finder,Optional include currently exposed in UI,nacional,complete,2026-04-03T00:27:53Z,App Team + Mesa Nacional,TRUE
INCL_RESGUARDOS,Indigenous Reserves (Resguardos),Indigenous reserves include mask currently not exposed,includes,all,ANT,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/resguardos.tif,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,low,solution-finder,Could be added as optional include,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
INCL_OMECS_VECTOR,OMECs (vector),Vector OMECs data for future overlay use,includes,all,WDPA / Protected Planet,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/omecs_vector/,unknown,Shapefile,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,low,left-sidebar-map-layers,Vector data available for future overlay wiring,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
ADMIN_SIRAP,SIRAP Regions,SIRAP AOI boundaries used for regional selection,boundaries,all,MADS,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/boundaries/sirap_regions.geojson,/data/sirap-regions.geojson,GeoJSON,all,TRUE,TRUE,TRUE,TRUE,available,high,map-aoi-selector,Active AOI boundary layer,nacional,complete,2026-04-03T00:27:53Z,App Team,TRUE
ADMIN_DEPARTMENTS,Colombia Departments,Department AOI boundaries served from IGAC,boundaries,all,IGAC,nacional,unknown,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/2,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,remote_service,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/2,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/2,ArcGIS FeatureServer,all,TRUE,TRUE,TRUE,TRUE,available,high,map-aoi-selector,Active AOI boundary layer,nacional,complete,2026-04-03T00:27:53Z,App Team,TRUE
ADMIN_MUNICIPALITIES,Colombia Municipalities,Municipality AOI boundaries served from IGAC,boundaries,all,IGAC,nacional,unknown,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/1,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,remote_service,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/1,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/1,ArcGIS FeatureServer,all,TRUE,TRUE,TRUE,TRUE,available,high,map-aoi-selector,Active AOI boundary layer,nacional,complete,2026-04-03T00:27:53Z,App Team,TRUE
DISP_ECO_TYPES,Ecosystem Types,Shows the distribution of ecosystem types across the selected area.,boundaries,all,unknown,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,unknown,unknown,unknown,GeoTIFF or Feature Service,all,FALSE,FALSE,FALSE,FALSE,missing,medium,left-sidebar-map-layers,Placeholder layer entry exists in UI but not wired,nacional,missing,2026-04-03T00:27:53Z,App Team,FALSE
DISP_INDIGENOUS,Indigenous Reserves,Shows indigenous reserve territories to provide social and governance context for planning.,boundaries,all,ANT,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/resguardos.tif,unknown,GeoTIFF or Vector,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in INCL_RESGUARDOS,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_AFRO,Afro Territories,Shows Afro-Colombian community territories to provide social and governance context for planning.,boundaries,all,ANT,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/comunidades.tif,unknown,GeoTIFF or Vector,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in INCL_COMUNIDADES,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_HF,Human Footprint,Shows projected human footprint intensity to provide pressure context across the landscape.,boundaries,all,Humboldt (IAvH),nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/costs/human_footprint_2030.tif,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in COST_HF_2030,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_AG_COST,Agricultural Opportunity Cost,Shows agricultural net benefit as an opportunity-cost surface for conservation decisions.,boundaries,all,Humboldt (IAvH),nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/costs/net_benefit.tif,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in COST_NET_BENEFIT,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_LAND_USE,Land Use,Shows dominant land-use patterns to help interpret tradeoffs and local context.,boundaries,all,IDEAM / UPRA,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,unknown,unknown,unknown,GeoTIFF or Vector,all,FALSE,FALSE,FALSE,FALSE,missing,medium,left-sidebar-map-layers,Needed for contextual overlay,nacional,missing,2026-04-03T00:27:53Z,App Team,FALSE
DISP_CONFLICT,Conflict Zones,Shows conflict intensity based on coca and violence indicators for social-risk context.,boundaries,all,UNODC / Government,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/costs/conflict.tif,unknown,GeoTIFF,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in COST_CONFLICT,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_RUNAP,RUNAP Overlay,Shows official protected areas from RUNAP (2023).,boundaries,all,PNNC / RUNAP,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/runap_protected_areas.tif,unknown,GeoTIFF or Vector,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in INCL_RUNAP,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
DISP_OMECS,OMECs Overlay,Shows Other Effective Conservation Measures (OMECs) recognized outside formal protected areas.,boundaries,all,WDPA / Protected Planet,nacional,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-03T00:27:53Z,App Team,repo_file,data/inputs/includes_excludes/omecs.tif,unknown,GeoTIFF or Vector,all,FALSE,FALSE,FALSE,FALSE,available_not_wired,medium,left-sidebar-map-layers,Backing data exists in INCL_OMECS and INCL_OMECS_VECTOR,nacional,partial,2026-04-03T00:27:53Z,App Team,FALSE
