"id_capa
layer_id (only used by code, does not get displayed, can ignore, but don't remove this column)","nombre_capa
layer_name","grupo_capa
layer_group","descripción_capa
layer_description","grupo_modelo
model_group","alcance_espacial
spatial extent","visibilidad
visibility","org_fuente
source_org","en_uso_actual
in_use_now","url_fuente (si corresponde)
source_url (if applicable)","fecha_creacion
source_created_date","fecha_actualizado
source_updated_date","licencia_de_uso
source_license","contacto_fuente
source_contact","nombre_archivo
filename","tipo_almacenamiento
storage_type","ubicación_almacenamiento
storage_location","formato_datos
data_format","notas
notes","estado_metadatos
metadata_status","fecha_verificacion_metadatos
metadata_verified_at","verificado_por_metadatos
metadata_verified_by"
human_footprint_2030,"Índice de Huella Espacial Humana 2030
Human Footprint 2030",Costo,Shows projected human pressure on landscapes in 2030; higher values indicate higher pressure.,costo,nacional,a todos,Humboldt (IAvH),TRUE,https://drive.google.com/drive/folders/1HyzBF0BPa1dkxQUmvH3SpIVHmUIv5SIQ,unknown,unknown,unknown,unknown,human_footprint_2030.tif,in Google Drive,inputs/costs/human_footprint_2030.tif,GeoTIFF,,partial,2026-04-22,DISES Team + Mesa Nacional
net_benefit,"Beneficio neto (renta agropecuaria)
Net Benefit (agricultural rent)",Costo,Shows potential agricultural net benefit; higher values indicate higher opportunity cost for conservation.,costo,nacional,a todos,Humboldt (IAvH),TRUE,https://drive.google.com/drive/folders/1HyzBF0BPa1dkxQUmvH3SpIVHmUIv5SIQ,unknown,unknown,unknown,unknown,net_benefit.tif,in Google Drive,inputs/costs/net_benefit.tif,GeoTIFF,,partial,2026-04-22,DISES Team + Mesa Nacional
conflict,"Conflictos (coca muertes)
Conflict (Coca deaths)",Costo,Shows conflict intensity based on coca and violence indicators to represent social risk and implementation difficulty.,costo,nacional,a todos,UNODC / Government,FALSE,https://drive.google.com/drive/folders/1HyzBF0BPa1dkxQUmvH3SpIVHmUIv5SIQ,unknown,unknown,unknown,unknown,conflict.tif,in Google Drive,inputs/costs/conflict.tif,GeoTIFF,,partial,2026-04-22,DISES Team + Mesa Nacional
climate_refugia,"Velocidad del cambio climático
Climate Change Velocity",Costo,"Identifies specific, localized areas that are relatively buffered from regional climate change, allowing species and ecosystems to persist",costo,nacional,a todos,IAvH,FALSE,https://drive.google.com/drive/folders/1HyzBF0BPa1dkxQUmvH3SpIVHmUIv5SIQ,unknown,unknown,unknown,unknown,climate_refugia.tif,in Google Drive,inputs/costs/climate_refugia.tif,GeoTIFF,,partial,2026-04-22,DISES Team + Mesa Nacional
runap,"Áreas protegidas (RUNAP 2023)
Protected Areas (RUNAP 2023)",Límite político o administrativo,Protected areas from RUNAP (2023) that are treated as already conserved in planning outputs.,incluye,nacional,a todos,PNN,TRUE,https://www.datos.gov.co/dataset/runap-Registro-Unico-Nacional-AP/n9kx-xwgg/about_data,2021-03-28,2026-04-09,CC by 4.0,daniel.rodriguez@parquesnacionales.gov.co,runap_protected_areas.tif,in Google Drive,inputs/includes/runap_protected_areas.tif,GeoTIFF,,partial,2026-04-22,DISES Team + Mesa Nacional
siraps,Combined SIRAP review layer,Límite político o administrativo,Combined SIRAP boundary review layer containing territorial SIRAPs and thematic SIRAP additions.,"limites
boundaries",all_siraps,a todos,PNNc / Nick McManus,TRUE,https://drive.google.com/drive/folders/1SpPlC96IvvPrts2_aW4TrIeTBAwb_fVy,unknown,2026-07-27,unknown,Nick McManus,siraps_merged_polygon_v2.geojson,Vercel Blob,https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/boundaries/sirap/siraps_merged_polygon_v2.geojson,GeoJSON,"Polygon-only v2 derived from the pinned siraps_merged source; preserves the 10-feature ID/name catalog while removing non-polygon GeometryCollection members.",complete,2026-07-27,DISES Team + Nick
siraps_territorial,Territorial SIRAPs,Límite político o administrativo,Broad territorial SIRAP / DT boundary polygons.,"limites
boundaries",all_siraps,a todos,PNNc / Nick McManus,TRUE,https://drive.google.com/drive/folders/1SpPlC96IvvPrts2_aW4TrIeTBAwb_fVy,unknown,2025-06-09,unknown,Nick McManus,siraps_territorial.geojson,Vercel Blob,https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/boundaries/sirap/siraps_territorial.geojson,GeoJSON,Converted from shape_DTs shapefile as the territorial SIRAP layer.,complete,2026-05-12,DISES Team + Nick
siraps_territorial_updated,"SIRAP territoriales (actualizados, requieren cálculo de métricas)
Territorial SIRAPs (updated, needs metric calculation)",Límite político o administrativo,Authoritative six-feature Territorial SIRAP comparison layer; view-only and intentionally excluded from selection and metrics until recalculation.,"referencia
reference",all_siraps,a todos,PNNc / Nick McManus,TRUE,https://drive.google.com/drive/folders/1SpPlC96IvvPrts2_aW4TrIeTBAwb_fVy,unknown,2026-07-29,unknown,Nick McManus,siraps_territorial_authoritative_v3.geojson,Vercel Blob,data/inputs/boundaries/sirap/siraps_territorial_authoritative_v3.geojson,GeoJSON,"Authoritative territorial-only EPSG:4326 asset with six stable polygon features. Visual/selectable only; metrics require recalculation.",complete,2026-08-11,DISES Team + Nick
siraps_thematic,Thematic SIRAP additions,Límite político o administrativo,Thematic SIRAP additions isolated for Eje Cafetero and Macizo.,"limites
boundaries",all_siraps,a todos,PNNc / Nick McManus,TRUE,https://drive.google.com/drive/folders/1SpPlC96IvvPrts2_aW4TrIeTBAwb_fVy,unknown,2026-05-11,unknown,Nick McManus,siraps_thematic.geojson,Vercel Blob,https://aagibolq28slyfof.public.blob.vercel-storage.com/inputs/boundaries/sirap/siraps_thematic.geojson,GeoJSON,Converted from eje_cafetero_macizo shapefile; excludes municipality-level thematic breakdown for now.,complete,2026-05-12,DISES Team + Nick
omecs,OMECs (raster),Límite político o administrativo,Other Effective Conservation Measures (OMECs) recognized for conservation outcomes outside formal protected areas.,incluye,nacional,a todos,WDPA / Protected Planet,TRUE,https://www.protectedplanet.net/en/thematic-areas/oecms?tab=OECMs,,unknown,unknown,unknown,omecs.tif,in Google Drive,inputs/includes/omecs.tif,GeoTIFF,,partial,2026-04-22,DISES Team + Mesa Nacional
comunidades,"Comunidades Negras
Afro-Colombian Communities",Límite político o administrativo,Afro-Colombian community territories that can be included in planning and visualization.,incluye,nacional,a todos,ANT (Agencia Nacional de Tierras),TRUE,https://data-agenciadetierras.opendata.arcgis.com/datasets/agenciadetierras::consejo-comunitario-titulado/about,2024-11-04,2026-02-18,CC by 4.0,unknown,comunidades.tif,in Google Drive,inputs/includes/comunidades.tif,GeoTIFF,,partial,2026-04-22,DISES Team + Mesa Nacional
resguardos,"Resguardos Indígenas
Indigenous Reserves",Límite político o administrativo,Indigenous reserves include mask currently not exposed,incluye,nacional,a todos,ANT (Agencia Nacional de Tierras),TRUE,https://data-agenciadetierras.opendata.arcgis.com/datasets/agenciadetierras::resguardo-indigena-formalizado/about,2024-11-04,2026-02-18,CC by 4.0,unknown,resguardos.tif,in Google Drive,inputs/includes/resguardos.tif,GeoTIFF,,partial,2026-04-22,DISES Team
ADMIN_DEPARTMENTS,Departamentos,Límite político o administrativo,Department AOI boundaries served from IGAC,"limites
boundaries",nacional,a todos,IGAC,TRUE,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/2,unknown,unknown,unknown,unknown,NA,pulling from url,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/2,ArcGIS FeatureServer,,partial,2026-04-22,DISES Team
ADMIN_MUNICIPALITIES,Municipios,Límite político o administrativo,Municipality AOI boundaries served from IGAC,"limites
boundaries",nacional,a todos,IGAC,TRUE,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/1,unknown,unknown,unknown,unknown,NA,pulling from url,https://mapas2.igac.gov.co/server/rest/services/limites/limites/MapServer/1,ArcGIS FeatureServer,,partial,2026-04-22,DISES Team
coberturas,"Cobertura de la tierra
Land Use",Coberturas,Shows dominant land-cover patterns to help interpret tradeoffs and local context.,"limites
boundaries",nacional,a todos,IDEAM,TRUE,Cobertura de la tierra 100K Periodo 2022 limite administrativo: https://experience.arcgis.com/experience/568ddab184334f6b81a04d2fe9aac262/page/Datos-Abiertos-Geogr%C3%A1ficos-/,unknown,unknown,unknown,unknown,coberturas.tif,in Google Drive,boundaries/coberturas.tif,GeoTIFF,csv of what each int represents in same folder,partial,2026-04-22,DISES Team
zonas_reserva_campesina_constituida,"Zonas de Reserva Campesina Constituida
Campesina Reserve Zones",Territorios culturales y étnicos,"ZRC es un instrumento de ordenamiento territorial que reconoce, protege y promueve la economía campesina y el desarrollo sostenible en los territorios.","referencia
reference",nacional,a todos,ANT (Agencia Nacional de Tierras),TRUE,https://data-agenciadetierras.opendata.arcgis.com/datasets/zonas-de-reserva-campesina-constituida/explore?location=3.091663%2C-71.907458%2C6,unknown,2026-02-18,CC BY-SA 4.0,unknown,zonas_reserva_campesina_constituida.geojson,Vercel Blob,data/inputs/reference/zonas_reserva_campesina_constituida/v0.1.0/zonas_reserva_campesina_constituida.geojson,GeoJSON,Display-only immutable reference layer; excluded from solution finding and metrics.,complete,2026-08-04,DISES Team
ramsar,"Humedales RAMSAR
Ramsar Wetlands",Ecosistemas estratégicos,"Humedales declarados de importancia internacional por la Convención Ramsar, esenciales para la biodiversidad y el mantenimiento de funciones ecológicas clave.","referencia
reference",nacional,a todos,Ministerio de Ambiente y Desarrollo Sostenible,TRUE,https://siac-datosabiertos-mads.hub.arcgis.com/maps/3b63a187479543eb858028ecaa9d068b/about,2025-04-13,2026-05-28,unknown,unknown,ramsar.geojson,Vercel Blob,data/inputs/reference/ramsar/v0.1.0/ramsar.geojson,GeoJSON,Display-only immutable reference layer; excluded from solution finding and metrics.,complete,2026-08-04,DISES Team
biosphere_reserves,"Reservas de biosfera
Biosphere Reserves",Ecosistemas estratégicos,"Las Reservas de Biosfera son áreas reconocidas por la UNESCO que buscan armonizar la conservación de la biodiversidad con el desarrollo sostenible y el conocimiento científico, integrando la naturaleza y las comunidades locales.","referencia
reference",nacional,a todos,Ministerio de Ambiente y Desarrollo Sostenible,TRUE,https://siac-datosabiertos-mads.hub.arcgis.com/maps/3b63a187479543eb858028ecaa9d068b/about,2025-04-13,2026-05-28,unknown,unknown,biosphere_reserves.geojson,Vercel Blob,data/inputs/reference/biosphere_reserves/v0.1.0/biosphere_reserves.geojson,GeoJSON,Display-only immutable reference layer; excluded from solution finding and metrics.,complete,2026-08-04,DISES Team
reservas_forestales_ley_2_1959,"Reservas Forestales de Ley 2da de 1959
Forest Reserves under Law 2 of 1959",Ecosistemas estratégicos,Límites de las siete (7) áreas de reserva forestal constituidas mediante la expedición de la Ley 2da de 1959.,"referencia
reference",nacional,a todos,Ministerio de Ambiente y Desarrollo Sostenible,TRUE,https://siac-datosabiertos-mads.hub.arcgis.com/content/29feec692728468fbe94194266df0b8f/about,unknown,2026-07-29,unknown,unknown,reservas_forestales_ley_2_1959.geojson,Vercel Blob,data/inputs/reference/reservas_forestales_ley_2_1959/v0.1.0/reservas_forestales_ley_2_1959.geojson,GeoJSON,Display-only immutable reference layer; excluded from solution finding and metrics.,complete,2026-08-04,DISES Team
kba_aica,"KBA y AICAS
KBA / AICA",Biodiversidad,"102 KBA confirmadas en Colombia, activadas exclusivamente por aves, a marzo de 2026.","referencia
reference",nacional,a todos,BirdLife International,FALSE,https://datazone.birdlife.org/about-our-science/ibas,unknown,2026-03,Redistribution requires written permission from BirdLife International,unknown,unknown,not uploaded,unknown,Shapefile,Blocked from public display and upload; preserve provenance only until written redistribution permission is documented.,blocked,2026-08-04,DISES Team
